ip_address,lat,lon,timestamp,poi_type_query,cell_id,day,time,daytime
0.98.248.97,46.54673993140806,6.57737743004016,11.516780861512398,cafeteria,63,1,11,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,11.516780861512398,restaurant,63,1,11,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,18.9952609111185,dojo,18,1,18,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,18.9952609111185,supermarket,18,1,18,4.Evening
0.98.248.97,46.54673993140806,6.57737743004016,34.86647483791775,cafeteria,63,2,10,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,34.86647483791775,restaurant,63,2,10,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,44.41963161767376,restaurant,18,2,20,5.Night
0.98.248.97,46.510699517190126,6.6288432152377466,44.41963161767376,dojo,18,2,20,5.Night
0.98.248.97,46.51365572536957,6.629129707945616,44.48487329345578,supermarket,18,2,20,5.Night
0.98.248.97,46.51365572536957,6.629129707945616,44.48487329345578,cafeteria,18,2,20,5.Night
0.98.248.97,46.54673993140806,6.57737743004016,59.01524576239815,cafeteria,63,3,11,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,59.01524576239815,restaurant,63,3,11,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,64.49752125922792,restaurant,18,3,16,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,64.49752125922792,dojo,18,3,16,3.Afternoon
0.98.248.97,46.51365572536957,6.629129707945616,68.9799772922855,dojo,18,3,20,5.Night
0.98.248.97,46.51365572536957,6.629129707945616,68.9799772922855,supermarket,18,3,20,5.Night
0.98.248.97,46.54673993140806,6.57737743004016,84.79608301409083,cafeteria,63,4,12,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,84.79608301409083,restaurant,63,4,12,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,87.51173291162918,cafeteria,18,4,15,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,87.51173291162918,restaurant,18,4,15,3.Afternoon
0.98.248.97,46.507476975461685,6.627928229903694,92.3255343667611,dojo,18,4,20,5.Night
0.98.248.97,46.507476975461685,6.627928229903694,92.3255343667611,supermarket,18,4,20,5.Night
0.98.248.97,46.54673993140806,6.57737743004016,108.3620114060884,cafeteria,63,5,12,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,108.3620114060884,restaurant,63,5,12,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,113.76343921568508,dojo,18,5,17,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,113.76343921568508,supermarket,18,5,17,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,129.14177625036575,cafeteria,18,6,9,2.Morning
0.98.248.97,46.52105660776627,6.648861971310422,129.14177625036575,dojo,40,6,9,2.Morning
0.98.248.97,46.52165512031596,6.642748877559491,129.14177625036575,supermarket,40,6,9,2.Morning
0.98.248.97,46.52484862061061,6.640184133216839,129.14177625036575,restaurant,40,6,9,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,153.66074741743594,cafeteria,18,7,9,2.Morning
0.98.248.97,46.53214993358437,6.601756114377491,153.66074741743594,restaurant,46,7,9,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,180.85220417215996,cafeteria,63,8,12,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,180.85220417215996,restaurant,63,8,12,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,184.4242430492276,restaurant,18,8,16,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,184.4242430492276,supermarket,18,8,16,3.Afternoon
0.98.248.97,46.507476975461685,6.627928229903694,188.7766680602474,cafeteria,18,8,20,5.Night
0.98.248.97,46.507476975461685,6.627928229903694,188.7766680602474,restaurant,18,8,20,5.Night
0.98.248.97,46.54673993140806,6.57737743004016,202.1299208727938,cafeteria,63,9,10,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,202.1299208727938,restaurant,63,9,10,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,207.47035532470755,dojo,18,9,15,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,207.47035532470755,cafeteria,18,9,15,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,229.4742561777757,cafeteria,63,10,13,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,229.4742561777757,restaurant,63,10,13,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,235.48428717684476,supermarket,18,10,19,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,235.48428717684476,dojo,18,10,19,4.Evening
0.98.248.97,46.54673993140806,6.57737743004016,251.3554278826932,cafeteria,63,11,11,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,251.3554278826932,restaurant,63,11,11,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,259.0805173731931,supermarket,18,11,19,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,259.0805173731931,restaurant,18,11,19,4.Evening
0.98.248.97,46.51365572536957,6.629129707945616,260.4147256257884,restaurant,18,11,20,5.Night
0.98.248.97,46.51365572536957,6.629129707945616,260.4147256257884,cafeteria,18,11,20,5.Night
0.98.248.97,46.54673993140806,6.57737743004016,276.305968229919,cafeteria,63,12,12,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,276.305968229919,restaurant,63,12,12,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,283.0570277443562,supermarket,18,12,19,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,283.0570277443562,dojo,18,12,19,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,297.5373767819814,cafeteria,18,13,9,2.Morning
0.98.248.97,46.56576830053862,6.568500308407957,297.5373767819814,supermarket,92,13,9,2.Morning
0.98.248.97,46.56523092437586,6.564880827791146,297.5373767819814,dojo,92,13,9,2.Morning
0.98.248.97,46.510699517190126,6.6288432152377466,321.2807488860136,restaurant,18,14,9,2.Morning
0.98.248.97,46.51365572536957,6.629129707945616,321.2807488860136,cafeteria,18,14,9,2.Morning
0.98.248.97,46.54673993140806,6.57737743004016,348.1701858735151,cafeteria,63,15,12,3.Afternoon
0.98.248.97,46.54673993140806,6.57737743004016,348.1701858735151,restaurant,63,15,12,3.Afternoon
0.98.248.97,46.510699517190126,6.6288432152377466,353.1345157201091,dojo,18,15,17,4.Evening
0.98.248.97,46.510699517190126,6.6288432152377466,353.1345157201091,restaurant,18,15,17,4.Evening
0.98.248.97,46.507476975461685,6.627928229903694,355.01783247029414,cafeteria,18,15,19,4.Evening
0.98.248.97,46.507476975461685,6.627928229903694,355.01783247029414,restaurant,18,15,19,4.Evening
0.98.248.97,46.54673993140806,6.57737743004016,371.2070566279375,cafeteria,63,16,11,2.Morning
